pairing,condition,seed,vessel_collision_rate,vessel_collisions_per_ep,near_misses_per_ep,min_cpa,collision_contact_steps,give_way_events,success_rate,mean_reward,static_collisions,cte_mean,iala_violations,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_encounters,n_vessel_rows,n_solved
DDQN_vs_DDQN,mid,2,23.333333333333332,0.6,0.9666666666666667,178.04670333333337,7.166666666666667,1.8666666666666667,28.333333333333332,-310.37298333333337,0.25,23.116114999999997,17.333333333333332,9.4,3.8488470588235297,3.031176470588236,48.63333333333333,30,60,17
DDQN_vs_DDQN,mid,3,26.666666666666668,0.5,0.23333333333333334,191.54102333333333,1.2,1.0333333333333334,18.333333333333332,-146.18266333333335,0.35,37.56086666666667,19.866666666666667,10.833333333333334,3.8224181818181817,2.4914727272727273,51.88333333333333,30,60,11
DDQN_vs_DDQN,mid,4,26.666666666666668,0.8,0.3,220.2215766666667,2.2666666666666666,0.7333333333333333,18.333333333333332,-179.74307000000005,0.35,36.903888333333335,14.65,10.333333333333334,4.274081818181818,1.6925636363636363,51.18333333333333,30,60,11
DDQN_vs_DDQN,mid,5,13.333333333333334,0.16666666666666666,0.23333333333333334,233.36762333333334,1.2666666666666666,0.5333333333333333,16.666666666666664,-152.99061666666665,0.45,32.34783166666667,19.55,10.866666666666667,5.29736,2.16169,51.46666666666667,30,60,10
DDQN_vs_DDQN,mid,6,36.666666666666664,0.5666666666666667,0.5,177.6105533333333,3.2,1.5333333333333334,20.0,-217.5923583333333,0.35,43.108565000000006,19.5,10.583333333333334,3.9454999999999996,2.8647416666666667,53.18333333333333,30,60,12
DDQN_vs_DDQN,mid,7,6.666666666666667,0.36666666666666664,0.1,229.90530333333336,2.1333333333333333,0.26666666666666666,16.666666666666664,-184.4408316666667,0.31666666666666665,45.43907666666666,18.0,10.083333333333334,3.885170000000001,2.05042,51.233333333333334,30,60,10
DQN_vs_DQN,clean,0,3.3333333333333335,0.03333333333333333,1.9666666666666666,236.53207333333333,1.9666666666666666,3.933333333333333,20.0,-184.9748483333333,0.13333333333333333,65.24320666666668,0.0,0.0,0.0,1.3696416666666664,49.05,30,60,12
DQN_vs_DQN,clean,1,23.333333333333332,0.23333333333333334,0.43333333333333335,196.3665133333333,5.866666666666666,1.3666666666666667,10.0,-308.67001666666675,0.13333333333333333,64.306765,0.0,0.0,0.0,1.0,53.8,30,60,6
DQN_vs_DQN,clean,2,30.0,0.36666666666666664,0.6,209.89290666666668,6.2,6.066666666666666,8.333333333333332,-351.86647666666664,0.0,20.177176666666664,0.0,0.0,0.0,2.58872,55.583333333333336,30,60,5
DQN_vs_DQN,clean,3,10.0,0.1,0.1,245.35770666666673,0.13333333333333333,0.16666666666666666,11.666666666666666,-112.59286,0.016666666666666666,29.395523333333337,0.0,0.0,0.0,1.0,52.56666666666667,30,60,7
DQN_vs_DQN,clean,4,16.666666666666664,0.16666666666666666,0.7,250.77254666666667,3.6666666666666665,2.2666666666666666,28.333333333333332,-194.38934333333336,0.18333333333333332,16.292661666666664,0.0,0.0,0.0,1.4011411764705883,46.36666666666667,30,60,17
DQN_vs_DQN,clean,5,6.666666666666667,0.06666666666666667,0.5666666666666667,238.00556,0.9,1.0,10.0,-145.84805000000003,0.08333333333333333,27.314748333333334,0.0,0.0,0.0,1.0,53.516666666666666,30,60,6
DQN_vs_DQN,clean,6,23.333333333333332,0.23333333333333334,1.1333333333333333,150.73902666666666,4.233333333333333,3.566666666666667,25.0,-224.06657499999994,0.0,13.709248333333331,0.0,0.0,0.0,1.1453333333333333,47.18333333333333,30,60,15
DQN_vs_DQN,clean,7,13.333333333333334,0.23333333333333334,0.6,265.53234000000003,1.2,1.8333333333333333,11.666666666666666,-163.14127499999998,0.0,63.97875666666666,0.0,0.0,0.0,1.6153285714285712,52.916666666666664,30,60,7
DQN_vs_DQN,harsh,0,23.333333333333332,0.6,0.7,213.87927333333337,1.4666666666666666,1.7333333333333334,18.333333333333332,-190.17956833333335,0.9166666666666666,76.56442166666666,69.78333333333333,21.7,12.189563636363635,6.315509090909091,53.25,30,60,11
