pairing,metric,clean_mean,harsh_mean,abs_change,rel_change_pct
DQN_vs_RuleBased,cte_mean,27.376101666666667,37.622502708333336,10.246401041666669,37.42826924895139
DQN_vs_RuleBased,iala_violations,0.0,44.56666666666666,44.56666666666666,
DQN_vs_RuleBased,dropped_frames,0.0,18.829166666666666,18.829166666666666,
DQN_vs_RuleBased,docking_accuracy,0.0,9.98468889203082,9.98468889203082,
DQN_vs_RuleBased,optimality_ratio,1.0132191666666668,1.4499183314600659,0.4366991647933991,43.100168172900965
DQN_vs_RuleBased,mean_steps,45.881249999999994,46.61666666666667,0.7354166666666728,1.6028697271034964
RuleBased_vs_RuleBased,vessel_collision_rate,40.83333333333333,37.916666666666664,-2.9166666666666643,-7.142857142857137
RuleBased_vs_RuleBased,vessel_collisions_per_ep,1.075,0.9458333333333333,-0.12916666666666665,-12.01550387596899
RuleBased_vs_RuleBased,near_misses_per_ep,0.525,0.5958333333333333,0.0708333333333333,13.492063492063485
RuleBased_vs_RuleBased,min_cpa,117.73969499999998,119.70446749999999,1.9647725000000094,1.6687426445261384
RuleBased_vs_RuleBased,collision_contact_steps,10.920833333333334,9.758333333333333,-1.1625000000000014,-10.644792064097684
RuleBased_vs_RuleBased,give_way_events,3.1791666666666663,2.725,-0.45416666666666616,-14.28571428571427
RuleBased_vs_RuleBased,success_rate,48.33333333333333,48.33333333333333,0.0,0.0
RuleBased_vs_RuleBased,mean_reward,-359.6093558333333,-344.8673720833333,14.741983750000031,-4.099443885668102
RuleBased_vs_RuleBased,static_collisions,0.0,0.6479166666666667,0.6479166666666667,
RuleBased_vs_RuleBased,cte_mean,10.734687916666667,23.21185583333333,12.477167916666664,116.23223715050555
RuleBased_vs_RuleBased,iala_violations,0.0,19.047916666666666,19.047916666666666,
RuleBased_vs_RuleBased,dropped_frames,0.0,14.799999999999999,14.799999999999999,
RuleBased_vs_RuleBased,docking_accuracy,0.0,11.043125649860176,11.043125649860176,
RuleBased_vs_RuleBased,optimality_ratio,1.0,1.0,0.0,0.0
RuleBased_vs_RuleBased,mean_steps,35.82291666666667,35.82291666666667,0.0,0.0
