agent,condition,seed,success_rate,mean_reward,collision_rate,collisions_per_ep,iala_violations,cte_mean,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_solved,n_eval
DuelingDQN,harsh,1,10.0,-138.1142866666667,43.333333333333336,0.7333333333333333,73.16666666666667,49.08011333333333,21.833333333333332,11.5069,3.864966666666667,56.266666666666666,3,30
DuelingDQN,harsh,2,20.0,-97.44244333333336,16.666666666666664,0.36666666666666664,64.9,14.702876666666667,20.0,6.68485,2.69515,52.666666666666664,6,30
DuelingDQN,harsh,3,16.666666666666664,-138.51194666666666,43.333333333333336,1.1,68.6,49.73023,20.9,16.7687,3.0015,53.06666666666667,5,30
DuelingDQN,harsh,4,43.333333333333336,-55.98244333333333,20.0,0.43333333333333335,50.733333333333334,27.970446666666668,17.833333333333332,13.271376923076922,2.825215384615385,45.4,13,30
DuelingDQN,harsh,5,40.0,-67.75268666666668,46.666666666666664,0.8666666666666667,47.46666666666667,25.3824,17.2,10.059191666666667,2.331925,44.13333333333333,12,30
DuelingDQN,harsh,6,53.333333333333336,-75.39269333333333,53.333333333333336,1.6,52.86666666666667,23.621786666666658,19.266666666666666,14.220443750000001,3.8611874999999998,47.4,16,30
DuelingDQN,harsh,7,23.333333333333332,-125.02873,50.0,1.5333333333333334,68.7,29.09298333333333,20.166666666666668,9.640542857142858,2.6437999999999997,51.96666666666667,7,30
DuelingDQN,harsh,8,33.33333333333333,-117.69076666666668,53.333333333333336,2.033333333333333,61.766666666666666,29.826533333333337,19.0,11.91897,3.9978299999999996,50.6,10,30
DuelingDQN,harsh,9,63.33333333333333,-27.569193333333335,43.333333333333336,0.9333333333333333,48.96666666666667,18.29372,16.566666666666666,10.25267894736842,3.1417526315789472,40.666666666666664,19,30
DuelingDQN,harsh,10,6.666666666666667,-143.88487333333333,26.666666666666668,0.6666666666666666,74.8,54.09887333333332,23.1,18.11215,1.4935,56.733333333333334,2,30
DuelingDQN,harsh,11,60.0,-67.38189666666666,56.666666666666664,1.7333333333333334,38.9,14.903529999999998,15.766666666666667,12.753183333333332,2.200561111111111,40.13333333333333,18,30
DuelingDQN,harsh,12,33.33333333333333,-82.96768666666667,33.33333333333333,0.6666666666666666,63.6,24.895460000000003,19.033333333333335,8.050680000000002,3.3000499999999997,48.56666666666667,10,30
DuelingDQN,harsh,13,16.666666666666664,-155.05864000000003,53.333333333333336,2.066666666666667,61.9,44.03380666666667,20.666666666666668,15.018460000000001,2.28506,53.2,5,30
DuelingDQN,harsh,14,63.33333333333333,-34.40016666666668,70.0,1.2666666666666666,39.86666666666667,21.729016666666663,16.933333333333334,8.93118947368421,3.1189105263157892,40.8,19,30
DuelingDQN,mid,0,30.0,-91.08115333333332,33.33333333333333,0.5333333333333333,17.766666666666666,101.91357666666667,8.266666666666667,6.090366666666666,1.3373666666666668,46.43333333333333,9,30
DuelingDQN,mid,1,16.666666666666664,-118.82813333333335,30.0,0.43333333333333335,22.2,84.15239666666668,10.9,2.7682399999999996,2.2950600000000003,52.7,5,30
DuelingDQN,mid,2,43.333333333333336,-41.91261,13.333333333333334,0.13333333333333333,16.1,29.736143333333338,9.333333333333334,5.535776923076924,1.6781384615384611,44.06666666666667,13,30
DuelingDQN,mid,3,36.666666666666664,-83.29867333333331,36.666666666666664,1.2,17.566666666666666,27.697183333333335,8.4,4.736281818181818,1.8287,43.2,11,30
DuelingDQN,mid,4,76.66666666666667,37.203356666666664,23.333333333333332,0.3,5.966666666666667,6.317430000000001,5.566666666666666,4.8635,1.4648913043478262,28.866666666666667,23,30
DuelingDQN,mid,5,16.666666666666664,-128.65509666666665,50.0,1.0333333333333334,20.3,84.50312666666666,10.2,4.57274,1.09182,50.666666666666664,5,30
DuelingDQN,mid,6,33.33333333333333,-72.82144999999998,16.666666666666664,0.23333333333333334,16.633333333333333,20.977,9.866666666666667,3.4803100000000002,3.46952,49.166666666666664,10,30
DuelingDQN,mid,7,26.666666666666668,-101.06353333333333,40.0,1.1333333333333333,16.466666666666665,23.762066666666662,10.133333333333333,3.8209874999999993,2.131075,49.2,8,30
DuelingDQN,mid,8,43.333333333333336,-110.56926333333332,26.666666666666668,2.533333333333333,12.533333333333333,42.47362,7.7,3.4302769230769234,2.2318692307692305,44.333333333333336,13,30
DuelingDQN,mid,9,63.33333333333333,2.893573333333337,26.666666666666668,0.3333333333333333,11.5,12.122023333333336,6.333333333333333,4.717215789473684,1.4438,33.733333333333334,19,30
DuelingDQN,mid,10,3.3333333333333335,-139.98351666666665,10.0,0.2,23.633333333333333,54.958376666666666,12.566666666666666,2.1545,2.8857,58.96666666666667,1,30
DuelingDQN,mid,11,36.666666666666664,-91.66406,36.666666666666664,1.3,11.433333333333334,17.190823333333334,8.633333333333333,5.6323454545454545,1.460209090909091,43.56666666666667,11,30
DuelingDQN,mid,12,16.666666666666664,-99.60710999999998,16.666666666666664,0.2,18.833333333333332,18.283993333333335,9.966666666666667,4.91476,2.27412,52.63333333333333,5,30
DuelingDQN,mid,13,10.0,-146.35928333333334,40.0,1.2666666666666666,21.6,24.65047666666667,11.1,2.3196,1.8348666666666666,55.233333333333334,3,30
DuelingDQN,mid,14,23.333333333333332,-95.30221999999999,23.333333333333332,0.4666666666666667,18.966666666666665,50.05445666666666,10.233333333333333,6.136628571428572,3.555114285714286,50.6,7,30
DuelingDoubleDQN,clean,0,20.0,-86.09062999999999,0.0,0.0,0.0,36.629506666666664,0.0,0.0,1.0,50.13333333333333,6,30
DuelingDoubleDQN,clean,1,20.0,-98.85224666666664,6.666666666666667,0.06666666666666667,0.0,45.30259999999999,0.0,0.0,2.5783666666666663,52.7,6,30
DuelingDoubleDQN,clean,2,6.666666666666667,-107.49842666666667,0.0,0.0,0.0,12.275626666666666,0.0,0.0,1.0,56.43333333333333,2,30
DuelingDoubleDQN,clean,3,26.666666666666668,-67.00606666666667,0.0,0.0,0.0,8.4802,0.0,0.0,1.0,45.46666666666667,8,30
DuelingDoubleDQN,clean,4,26.666666666666668,-62.77039999999999,0.0,0.0,0.0,1.998246666666667,0.0,0.0,1.0,45.733333333333334,8,30
DuelingDoubleDQN,clean,5,40.0,-44.95679333333333,33.33333333333333,0.3333333333333333,0.0,20.817306666666664,0.0,0.0,1.0,38.3,12,30
DuelingDoubleDQN,clean,6,23.333333333333332,-72.39966666666668,0.0,0.0,0.0,12.566690000000001,0.0,0.0,1.0,47.56666666666667,7,30
DuelingDoubleDQN,clean,7,20.0,-77.61771000000002,0.0,0.0,0.0,4.292973333333333,0.0,0.0,1.0,49.6,6,30
DuelingDoubleDQN,clean,8,13.333333333333334,-106.70531666666666,0.0,0.0,0.0,62.16189666666666,0.0,0.0,1.1445,52.46666666666667,4,30
DuelingDoubleDQN,clean,9,13.333333333333334,-101.07943000000002,0.0,0.0,0.0,25.051750000000002,0.0,0.0,1.0,52.36666666666667,4,30
DuelingDoubleDQN,clean,10,0.0,-145.43974333333335,0.0,0.0,0.0,56.16130666666666,0.0,,,60.0,0,30
DuelingDoubleDQN,clean,11,50.0,-9.345146666666668,0.0,0.0,0.0,4.501813333333333,0.0,0.0,1.0,35.7,15,30
DuelingDoubleDQN,clean,12,3.3333333333333335,-121.30704333333333,0.0,0.0,0.0,17.64439333333333,0.0,0.0,1.0,58.03333333333333,1,30
