agent,condition,seed,full_cycle_success_rate,dock_success_rate,mean_reward,phase1_steps,dock_accuracy,collisions_per_ep,cte_mean,iala_violations,dropped_frames,n_eval
DQN,harsh,7,6.666666666666667,96.66666666666667,4544.842773333333,56.86206896551724,9.182562068965517,1.9333333333333333,36.11473999999999,85.23333333333333,44.46666666666667,30
DQN,mid,0,0.0,0.0,1060.7295433333334,,,0.0,5.943336666666667,44.1,22.3,30
DQN,mid,1,0.0,10.0,1323.7581199999997,39.666666666666664,2.2038,1.2,5.9762,39.96666666666667,21.433333333333334,30
DQN,mid,2,0.0,0.0,-188.29744333333332,,,0.7,5.903180000000001,41.733333333333334,23.7,30
DQN,mid,3,0.0,6.666666666666667,902.9659166666667,68.0,8.869250000000001,1.3666666666666667,5.954796666666667,43.266666666666666,21.733333333333334,30
DQN,mid,4,0.0,3.3333333333333335,2575.0443466666666,33.0,2.7479,0.06666666666666667,8.95052,35.13333333333333,21.766666666666666,30
DQN,mid,5,0.0,0.0,406.9056466666667,,,0.7666666666666667,5.926353333333333,44.7,22.433333333333334,30
DQN,mid,6,0.0,0.0,744.6123200000002,,,0.0,5.9388533333333315,45.2,22.8,30
DQN,mid,7,13.333333333333334,43.333333333333336,3112.781516666667,43.30769230769231,5.2187846153846165,1.0333333333333334,35.57746666666667,36.5,21.866666666666667,30
RuleBased,clean,0,20.0,46.666666666666664,167.0098266666666,25.0,0.0,0.0,55.29221333333333,0.0,0.0,30
RuleBased,clean,1,0.0,0.0,-207.73150000000007,,,0.0,0.0,0.0,0.0,30
RuleBased,clean,2,40.0,53.333333333333336,340.0894533333334,27.0,0.0,0.0,25.100973333333332,0.0,0.0,30
RuleBased,clean,3,20.0,40.0,78.61609333333334,27.0,0.0,0.0,28.715320000000002,0.0,0.0,30
RuleBased,clean,4,0.0,0.0,-209.12706666666665,,,0.0,0.0,0.0,0.0,30
RuleBased,clean,5,16.666666666666664,43.333333333333336,127.49648666666667,27.0,0.0,0.0,36.11058666666667,0.0,0.0,30
RuleBased,clean,6,50.0,100.0,651.2118200000001,25.8,0.0,0.0,107.70021999999999,0.0,0.0,30
RuleBased,clean,7,26.666666666666668,63.33333333333333,370.87002,27.0,0.0,0.0,76.50962,0.0,0.0,30
RuleBased,harsh,0,20.0,46.666666666666664,100.76301666666667,25.0,8.1553,2.1666666666666665,66.35345,61.266666666666666,38.53333333333333,30
RuleBased,harsh,1,0.0,0.0,-494.17370333333344,,,11.166666666666666,13.216000000000001,88.43333333333334,44.53333333333333,30
RuleBased,harsh,2,40.0,53.333333333333336,274.1145466666667,27.0,14.334931249999999,2.066666666666667,37.347269999999995,51.766666666666666,35.233333333333334,30
RuleBased,harsh,3,20.0,40.0,53.67541000000001,27.0,11.754866666666667,0.5,40.36729666666666,121.8,38.833333333333336,30
RuleBased,harsh,4,0.0,0.0,-216.50274666666667,,,0.0,13.325439999999999,97.86666666666666,45.03333333333333,30
RuleBased,harsh,5,16.666666666666664,43.333333333333336,102.97906000000002,27.0,11.237253846153845,0.5333333333333333,47.167443333333345,121.0,41.46666666666667,30
RuleBased,harsh,6,50.0,100.0,585.0419766666668,25.8,7.771246666666667,2.066666666666667,116.34789333333335,106.03333333333333,32.733333333333334,30
RuleBased,harsh,7,26.666666666666668,63.33333333333333,347.0353966666667,27.0,11.063415789473684,0.6,78.50172333333332,69.13333333333334,36.86666666666667,30
RuleBased,mid,0,20.0,46.666666666666664,107.37494333333332,25.0,3.6245642857142855,2.1333333333333333,60.60732333333333,18.7,19.433333333333334,30
RuleBased,mid,1,0.0,0.0,-320.1557066666667,,,4.366666666666666,5.945116666666667,27.133333333333333,23.333333333333332,30
RuleBased,mid,2,40.0,53.333333333333336,287.63761,27.0,6.371074999999999,1.8333333333333333,30.600346666666663,14.9,17.633333333333333,30
RuleBased,mid,3,20.0,40.0,62.094793333333335,27.0,5.224366666666667,0.43333333333333335,33.90235333333334,36.06666666666667,19.3,30
RuleBased,mid,4,0.0,0.0,-212.42620999999997,,,0.0,5.98927,29.233333333333334,22.833333333333332,30
RuleBased,mid,5,16.666666666666664,43.333333333333336,110.67661333333334,27.0,4.994338461538462,0.4666666666666667,41.03278999999999,36.9,20.033333333333335,30
RuleBased,mid,6,50.0,100.0,588.82876,25.8,3.453883333333334,2.2333333333333334,111.56932,33.266666666666666,15.866666666666667,30
RuleBased,mid,7,26.666666666666668,63.33333333333333,354.3465466666667,27.0,4.917073684210527,0.6,72.54412333333333,20.2,18.3,30
