pairing,condition,seed,vessel_collision_rate,vessel_collisions_per_ep,near_misses_per_ep,min_cpa,head_on_events,give_way_events,success_rate,mean_reward,cte_mean,iala_violations,n_encounters,n_vessel_rows
DQN_vs_DQN,mid,4,0.0,0.0,0.2,156.51115000000001,0.36666666666666664,0.36666666666666664,3.3333333333333335,-128.34207,26.056803333333335,11.216666666666667,30,60
DQN_vs_DQN,mid,5,16.666666666666664,0.5,0.5333333333333333,284.91001,0.3333333333333333,0.8666666666666667,0.0,-172.6979033333333,40.76331666666667,12.783333333333333,30,60
DQN_vs_DQN,mid,6,10.0,0.16666666666666666,0.06666666666666667,237.7308733333334,0.1,1.0333333333333334,1.6666666666666667,-177.46472166666672,48.8018,11.616666666666667,30,60
DQN_vs_DQN,mid,7,3.3333333333333335,0.13333333333333333,0.03333333333333333,226.07640000000004,0.23333333333333334,0.6333333333333333,6.666666666666667,-148.80506499999998,70.37856166666667,14.983333333333333,30,60
DQN_vs_Rule,clean,0,60.0,0.6,0.1,108.03973333333332,0.6,0.8,30.0,-128.94320166666665,100.38985666666666,0.0,30,60
DQN_vs_Rule,clean,1,0.0,0.0,0.0,444.29085666666674,0.0,0.0,0.0,-161.3491366666667,139.29646166666666,0.0,30,60
DQN_vs_Rule,clean,2,46.666666666666664,0.4666666666666667,0.4666666666666667,70.21718666666666,0.4666666666666667,0.4666666666666667,26.666666666666668,-128.9419133333333,56.668698333333325,0.0,30,60
DQN_vs_Rule,clean,3,0.0,0.0,0.0,152.97259666666665,0.0,0.0,21.666666666666668,-96.096105,92.98079000000001,0.0,30,60
DQN_vs_Rule,clean,4,56.666666666666664,0.5666666666666667,0.36666666666666664,56.99573333333333,0.5666666666666667,0.5666666666666667,28.333333333333332,-94.71885500000002,48.669290000000004,0.0,30,60
DQN_vs_Rule,clean,5,43.333333333333336,0.43333333333333335,0.3,169.6297166666667,0.43333333333333335,0.43333333333333335,33.33333333333333,-95.14307666666669,60.77774166666668,0.0,30,60
DQN_vs_Rule,clean,6,53.333333333333336,0.5333333333333333,0.5333333333333333,146.46839333333335,1.0,1.0,26.666666666666668,-129.43577333333334,95.94653999999998,0.0,30,60
DQN_vs_Rule,clean,7,3.3333333333333335,0.03333333333333333,0.03333333333333333,172.1311233333333,0.06666666666666667,0.06666666666666667,18.333333333333332,-111.29824833333332,117.32168000000001,0.0,30,60
DQN_vs_Rule,harsh,0,40.0,0.6666666666666666,0.4666666666666667,119.09043000000001,0.7,2.1333333333333333,45.0,-176.41253666666665,101.33837166666669,48.233333333333334,30,60
DQN_vs_Rule,harsh,1,10.0,0.13333333333333333,0.0,339.97246,0.0,0.13333333333333333,0.0,-167.66473666666667,98.69955999999999,39.46666666666667,30,60
DQN_vs_Rule,harsh,2,36.666666666666664,0.6666666666666666,0.8,81.31314666666665,0.5666666666666667,2.1,53.333333333333336,-131.40367166666664,99.56823333333334,43.833333333333336,30,60
DQN_vs_Rule,harsh,3,26.666666666666668,0.3,0.36666666666666664,180.90609999999998,0.26666666666666666,0.6333333333333333,23.333333333333332,-130.34778333333333,92.560685,56.516666666666666,30,60
DQN_vs_Rule,harsh,4,66.66666666666666,0.8666666666666667,0.8333333333333334,44.320436666666666,0.7666666666666667,2.3666666666666667,40.0,-151.808205,68.51118333333334,39.96666666666667,30,60
DQN_vs_Rule,harsh,5,23.333333333333332,0.5333333333333333,0.36666666666666664,193.97150333333332,1.6666666666666667,3.2666666666666666,23.333333333333332,-178.532795,97.00026,56.016666666666666,30,60
DQN_vs_Rule,harsh,6,26.666666666666668,0.3333333333333333,0.3333333333333333,168.20011333333332,0.4,1.3,26.666666666666668,-160.99591333333333,118.71371,63.68333333333333,30,60
DQN_vs_Rule,harsh,7,16.666666666666664,0.16666666666666666,0.1,176.69291,0.23333333333333334,0.5,18.333333333333332,-141.00626833333334,131.61517166666667,61.68333333333333,30,60
DQN_vs_Rule,mid,0,30.0,0.3,0.43333333333333335,128.12645,0.5,0.6666666666666666,36.666666666666664,-134.80484833333333,96.82320666666666,15.05,30,60
DQN_vs_Rule,mid,1,13.333333333333334,0.13333333333333333,0.0,276.7830866666667,0.0,0.03333333333333333,0.0,-159.09382833333333,76.55762166666668,10.383333333333333,30,60
DQN_vs_Rule,mid,2,3.3333333333333335,0.03333333333333333,0.13333333333333333,95.69090000000001,0.2,0.43333333333333335,45.0,-55.493741666666665,82.61897333333333,13.816666666666666,30,60
DQN_vs_Rule,mid,3,26.666666666666668,0.43333333333333335,0.16666666666666666,124.84204333333332,0.26666666666666666,0.8333333333333334,40.0,-95.02125500000001,75.96370666666668,14.783333333333333,30,60
DQN_vs_Rule,mid,4,56.666666666666664,0.6,0.43333333333333335,56.99573333333333,0.6,0.8333333333333334,56.666666666666664,-63.44327166666667,53.49983333333333,7.433333333333334,30,60
DQN_vs_Rule,mid,5,20.0,0.2,0.2,205.24751999999998,0.23333333333333334,0.23333333333333334,26.666666666666668,-132.50588333333332,106.19859,16.066666666666666,30,60
DQN_vs_Rule,mid,6,33.33333333333333,0.4666666666666667,0.13333333333333333,157.86158666666662,0.3,0.4666666666666667,26.666666666666668,-125.41260333333334,111.69560666666666,19.2,30,60
DQN_vs_Rule,mid,7,20.0,0.3333333333333333,0.2,179.10482000000002,0.3333333333333333,0.5,18.333333333333332,-138.7119616666667,142.63100333333333,17.4,30,60
Rule_vs_Rule,clean,0,50.0,0.5,0.23333333333333334,116.90322666666665,0.5,0.5,50.0,-46.98510999999999,78.10242999999998,0.0,30,60
Rule_vs_Rule,clean,1,0.0,0.0,0.0,121.52843,0.0,0.0,0.0,-120.12268333333333,0.0,0.0,30,60
Rule_vs_Rule,clean,2,40.0,0.4,0.23333333333333334,65.72010333333334,0.4,0.4,40.0,-65.13119666666667,70.29717833333333,0.0,30,60
Rule_vs_Rule,clean,3,40.0,0.4,0.26666666666666666,65.36134666666666,0.4,0.4,40.0,-62.21408166666666,55.824396666666665,0.0,30,60
Rule_vs_Rule,clean,4,50.0,0.5,0.13333333333333333,65.4968,0.5,0.5,50.0,-46.05736,56.297703333333324,0.0,30,60
Rule_vs_Rule,clean,5,46.666666666666664,0.4666666666666667,0.3333333333333333,160.13169333333335,0.4666666666666667,0.4666666666666667,46.666666666666664,-53.12714333333333,58.47444833333335,0.0,30,60
Rule_vs_Rule,clean,6,56.666666666666664,0.5666666666666667,0.23333333333333334,91.5300233333333,0.5666666666666667,0.5666666666666667,78.33333333333333,14.95265833333334,59.57106999999999,0.0,30,60
Rule_vs_Rule,clean,7,56.666666666666664,0.5666666666666667,0.3,48.20196333333334,0.5666666666666667,0.5666666666666667,56.666666666666664,-30.655933333333333,55.63081666666667,0.0,30,60
Rule_vs_Rule,harsh,0,50.0,0.5,0.23333333333333334,116.90322666666665,0.5,0.5,50.0,-86.23447666666668,88.20673000000002,27.383333333333333,30,60
Rule_vs_Rule,harsh,1,0.0,0.0,0.0,121.52843,0.0,0.0,0.0,-125.60293500000002,12.45880333333333,5.783333333333333,30,60
Rule_vs_Rule,harsh,2,40.0,0.4,0.23333333333333334,81.56138333333332,0.4,0.4,40.0,-79.72212333333333,90.65416,28.083333333333332,30,60
Rule_vs_Rule,harsh,3,40.0,0.4,0.26666666666666666,65.36134666666666,0.4,0.4,40.0,-77.09067999999999,65.60165500000001,24.15,30,60
Rule_vs_Rule,harsh,4,50.0,0.5,0.13333333333333333,65.4968,0.5,0.5,50.0,-75.79595666666665,66.72080833333334,24.85,30,60
Rule_vs_Rule,harsh,5,46.666666666666664,0.4666666666666667,0.3333333333333333,160.13169333333335,0.4666666666666667,0.4666666666666667,46.666666666666664,-61.25173333333333,67.64468333333333,42.333333333333336,30,60
Rule_vs_Rule,harsh,6,56.666666666666664,0.5666666666666667,0.23333333333333334,91.5300233333333,0.5666666666666667,0.5666666666666667,78.33333333333333,-3.130994999999999,69.844665,26.783333333333335,30,60
Rule_vs_Rule,harsh,7,56.666666666666664,0.5666666666666667,0.3,47.48445000000001,0.5666666666666667,0.5666666666666667,56.666666666666664,-39.80574,66.36558999999998,21.916666666666668,30,60
Rule_vs_Rule,mid,0,50.0,0.5,0.23333333333333334,116.90322666666665,0.5,0.5,50.0,-81.32494833333335,83.03783999999999,7.666666666666667,30,60
Rule_vs_Rule,mid,1,0.0,0.0,0.0,121.52843,0.0,0.0,0.0,-123.55344666666666,5.815573333333333,1.7333333333333334,30,60
Rule_vs_Rule,mid,2,40.0,0.4,0.23333333333333334,77.36196333333332,0.4,0.4,40.0,-71.25729666666668,81.67590499999999,9.0,30,60
Rule_vs_Rule,mid,3,40.0,0.4,0.26666666666666666,65.36134666666666,0.4,0.4,40.0,-71.53966666666666,60.23030333333333,7.65,30,60
Rule_vs_Rule,mid,4,50.0,0.5,0.13333333333333333,65.4968,0.5,0.5,50.0,-69.36339166666669,60.96767666666667,7.383333333333334,30,60
Rule_vs_Rule,mid,5,46.666666666666664,0.4666666666666667,0.3333333333333333,160.13169333333335,0.4666666666666667,0.4666666666666667,46.666666666666664,-56.908249999999995,62.543781666666675,13.833333333333334,30,60
Rule_vs_Rule,mid,6,56.666666666666664,0.5666666666666667,0.23333333333333334,91.5300233333333,0.5666666666666667,0.5666666666666667,78.33333333333333,0.8231983333333337,64.19816499999999,7.45,30,60
Rule_vs_Rule,mid,7,56.666666666666664,0.5666666666666667,0.3,48.20196333333334,0.5666666666666667,0.5666666666666667,56.666666666666664,-37.17729833333333,60.34030166666667,6.766666666666667,30,60
