config_id,metric,n,shapiro_W,p_value,normal_at_0.05
DoubleDQN,route_risk,9,0.9396480697508441,0.5781987996415567,True
DoubleDQN,route_difficulty,9,0.8344114048452493,0.05003408285521965,True
DoubleDQN+Noisy,success_rate,10,0.8821224245324637,0.13801233115674505,True
DoubleDQN+Noisy,mean_reward,10,0.8798510447167431,0.12998060665552935,True
DoubleDQN+Noisy,optimality_ratio,9,0.8999702042372544,0.25182530199073794,True
DoubleDQN+Noisy,mean_steps,10,0.8944657605737563,0.19028451246298833,True
DoubleDQN+Noisy,revisit_rate,10,0.8764918445742181,0.11890110999924908,True
DoubleDQN+Noisy,excess_cost,9,0.9290375983729282,0.47223626799929197,True
DoubleDQN+Noisy,route_risk,9,0.7414693452533674,0.004316498726067054,False
DoubleDQN+Noisy,route_difficulty,9,0.7823739452880334,0.012825753175740758,False
DoubleDQN+PER,success_rate,10,0.8460063190864571,0.052059865185418504,True
DoubleDQN+PER,mean_reward,10,0.8201023820561479,0.025414389487320006,False
DoubleDQN+PER,optimality_ratio,10,0.7903116165686426,0.01105350482516346,False
DoubleDQN+PER,mean_steps,10,0.8536312408204145,0.0641562137312394,True
DoubleDQN+PER,revisit_rate,10,0.8501551845049855,0.0583366208018055,True
DoubleDQN+PER,excess_cost,10,0.7935950195733299,0.012118475226679068,False
DoubleDQN+PER,route_risk,10,0.842435333059128,0.04718826729167372,False
DoubleDQN+PER,route_difficulty,10,0.8801982796126888,0.13117948918462186,True
DoubleDQN+PER+Noisy,success_rate,10,0.9083564343670043,0.26989122552538936,True
DoubleDQN+PER+Noisy,mean_reward,10,0.8903101875751909,0.17094559929065162,True
DoubleDQN+PER+Noisy,optimality_ratio,10,0.8542318524128006,0.06521719256649858,True
DoubleDQN+PER+Noisy,mean_steps,10,0.8707311417440694,0.10194583740633684,True
DoubleDQN+PER+Noisy,revisit_rate,10,0.9059774740268717,0.2544870767498313,True
DoubleDQN+PER+Noisy,excess_cost,10,0.8189193770731371,0.024590770681675967,False
DoubleDQN+PER+Noisy,route_risk,10,0.9249190609677944,0.39981225256247915,True
DoubleDQN+PER+Noisy,route_difficulty,10,0.9121908679582788,0.29638159840485445,True
DuelingDQN,success_rate,10,0.9142007503815344,0.31110969061852317,True
DuelingDQN,mean_reward,10,0.9139304513453438,0.309094683496197,True
DuelingDQN,optimality_ratio,10,0.5596066456002289,1.831939434066292e-05,False
DuelingDQN,mean_steps,10,0.9168434938734605,0.3313787126022728,True
DuelingDQN,revisit_rate,10,0.9283632820718914,0.4319877922329993,True
DuelingDQN,excess_cost,10,0.6266000396800024,0.00011496911449190487,False
DuelingDQN,route_risk,10,0.9166454984888768,0.32982421907994275,True
DuelingDQN,route_difficulty,10,0.9519085178435864,0.6911107693882556,True
DuelingDQN+Noisy,success_rate,10,0.7949994554188256,0.012604634787230578,False
DuelingDQN+Noisy,mean_reward,10,0.7836524771105751,0.009171479362605886,False
DuelingDQN+Noisy,optimality_ratio,8,0.661605744676325,0.0008227141477891865,False
DuelingDQN+Noisy,mean_steps,10,0.7550066267380805,0.00410663039681808,False
DuelingDQN+Noisy,revisit_rate,10,0.7765364322502841,0.007512312889748466,False
DuelingDQN+Noisy,excess_cost,8,0.6992633522843583,0.0022096753226837893,False
DuelingDQN+Noisy,route_risk,8,0.8910905205234473,0.23955206268908197,True
DuelingDQN+Noisy,route_difficulty,8,0.9081724020089579,0.3413734694391174,True
DuelingDQN+PER,success_rate,10,0.9451041836166951,0.6110699119174672,True
DuelingDQN+PER,mean_reward,10,0.9501983660309392,0.6708478989812947,True
DuelingDQN+PER,optimality_ratio,10,0.5340282768279683,9.135815436486e-06,False
DuelingDQN+PER,mean_steps,10,0.9389557667650471,0.5414535464072994,True
DuelingDQN+PER,revisit_rate,10,0.9492411051332168,0.6595296424971049,True
DuelingDQN+PER,excess_cost,10,0.6737095947537922,0.0004236311133268798,False
DuelingDQN+PER,route_risk,10,0.8728366228120057,0.10785845003061495,True
DuelingDQN+PER,route_difficulty,10,0.8784839992481868,0.1253596766297848,True
DuelingDQN+PER+Noisy,success_rate,10,0.9073799513965776,0.26347454727091174,True
DuelingDQN+PER+Noisy,mean_reward,10,0.9185315881845987,0.3448704510088747,True
DuelingDQN+PER+Noisy,optimality_ratio,9,0.5094750377908865,8.26447339296388e-06,False
DuelingDQN+PER+Noisy,mean_steps,10,0.9146445675863637,0.3144414974505788,True
DuelingDQN+PER+Noisy,revisit_rate,10,0.9266745928718725,0.41599122716461506,True
DuelingDQN+PER+Noisy,excess_cost,9,0.5592382821428602,3.1781628033438554e-05,False
DuelingDQN+PER+Noisy,route_risk,9,0.9710512717593227,0.9035678152545383,True
DuelingDQN+PER+Noisy,route_difficulty,9,0.9610175923259922,0.8089104128824114,True
DuelingDoubleDQN,success_rate,10,0.9097895745769158,0.27954874881038927,True
DuelingDoubleDQN,mean_reward,10,0.9193774020869401,0.35179145043304405,True
DuelingDoubleDQN,optimality_ratio,10,0.675470296572547,0.0004448788182189413,False
DuelingDoubleDQN,mean_steps,10,0.933041490736148,0.4784661720852614,True
DuelingDoubleDQN,revisit_rate,10,0.9370778253513243,0.5209790522745152,True
DuelingDoubleDQN,excess_cost,10,0.7065522369814332,0.0010576930569085841,False
DuelingDoubleDQN,route_risk,10,0.8483400267956246,0.05550480301619535,True
DuelingDoubleDQN,route_difficulty,10,0.8223053064514795,0.027021335137967017,False
DuelingDoubleDQN+Noisy,success_rate,10,0.9555523815611642,0.7342150257468998,True
DuelingDoubleDQN+Noisy,mean_reward,10,0.957085367252484,0.7521968466270981,True
DuelingDoubleDQN+Noisy,optimality_ratio,8,0.6809971074667718,0.0013706854694444323,False
DuelingDoubleDQN+Noisy,mean_steps,10,0.9557990062772388,0.7371169794717582,True
DuelingDoubleDQN+Noisy,revisit_rate,10,0.9437718607465949,0.5956940644512918,True
DuelingDoubleDQN+Noisy,excess_cost,8,0.691531328439921,0.0018059957718618526,False
DuelingDoubleDQN+Noisy,route_risk,8,0.8502311662265855,0.09578417268648934,True
DuelingDoubleDQN+Noisy,route_difficulty,8,0.8549855964135376,0.10696994880396593,True
DuelingDoubleDQN+PER,success_rate,10,0.8852136284684805,0.14968701919475297,True
DuelingDoubleDQN+PER,mean_reward,10,0.8793948229892976,0.12842101594462807,True
DuelingDoubleDQN+PER,optimality_ratio,10,0.8074570820986502,0.017860118996317256,False
DuelingDoubleDQN+PER,mean_steps,10,0.9172775486856004,0.3348070329078293,True
