algorithm,noise_std,packet_error_rate,seed,condition,success_rate,mean_reward,collision_rate,collisions_per_ep,iala_violations,cte_mean,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_solved,n_eval
DQN,0.25,0.2,4,n0.25_p0.2,80.0,32.852140000000006,33.33333333333333,0.43333333333333335,20.033333333333335,12.196993333333332,5.8,10.666370833333334,1.5748541666666664,28.533333333333335,24,30
DQN,0.25,0.2,5,n0.25_p0.2,46.666666666666664,-64.03182666666667,60.0,1.0666666666666667,39.2,59.20610333333334,7.6,9.538021428571428,1.8737071428571426,41.93333333333333,14,30
DQN,0.25,0.4,0,n0.25_p0.4,46.666666666666664,-79.72993999999997,66.66666666666666,1.6666666666666667,51.63333333333333,30.32143333333333,17.466666666666665,12.354050000000003,1.752692857142857,43.766666666666666,14,30
DQN,0.25,0.4,1,n0.25_p0.4,40.0,-71.99142333333333,43.333333333333336,0.9,50.766666666666666,25.479533333333336,16.7,8.692383333333332,2.9517333333333338,45.166666666666664,12,30
DQN,0.25,0.4,2,n0.25_p0.4,10.0,-132.58218333333332,30.0,0.6,73.9,44.08935999999999,21.433333333333334,6.7353,4.0892,57.46666666666667,3,30
DQN,0.25,0.4,3,n0.25_p0.4,26.666666666666668,-113.32761333333335,33.33333333333333,1.2,64.66666666666667,19.065420000000007,21.033333333333335,11.0131375,9.546050000000001,53.7,8,30
DQN,0.25,0.4,4,n0.25_p0.4,60.0,-26.366016666666663,36.666666666666664,0.5666666666666667,37.63333333333333,20.054970000000004,16.4,11.204294444444445,2.8538444444444444,41.93333333333333,18,30
DQN,0.25,0.4,5,n0.25_p0.4,36.666666666666664,-90.08417333333334,53.333333333333336,1.4333333333333333,48.333333333333336,27.309263333333334,18.8,8.315963636363637,3.0212363636363633,47.266666666666666,11,30
DoubleDQN,0.0,0.0,0,n0.0_p0.0,50.0,-20.830023333333326,16.666666666666664,0.16666666666666666,0.0,45.66480666666667,0.0,0.0,1.0636066666666666,35.96666666666667,15,30
DoubleDQN,0.0,0.0,1,n0.0_p0.0,16.666666666666664,-114.1956,20.0,0.2,0.0,48.300493333333335,0.0,0.0,4.53058,57.06666666666667,5,30
DoubleDQN,0.0,0.0,2,n0.0_p0.0,16.666666666666664,-91.61509666666667,0.0,0.0,0.0,22.582006666666665,0.0,0.0,1.0,51.5,5,30
DoubleDQN,0.0,0.0,3,n0.0_p0.0,16.666666666666664,-94.26540999999997,0.0,0.0,0.0,18.71191333333333,0.0,0.0,1.0,51.06666666666667,5,30
DoubleDQN,0.0,0.0,4,n0.0_p0.0,50.0,-5.802590000000001,3.3333333333333335,0.03333333333333333,0.0,1.99026,0.0,0.0,1.0,34.766666666666666,15,30
DoubleDQN,0.0,0.0,5,n0.0_p0.0,3.3333333333333335,-151.65332333333333,23.333333333333332,0.23333333333333334,0.0,122.23907,0.0,0.0,1.0,58.03333333333333,1,30
DoubleDQN,0.0,0.2,0,n0.0_p0.2,16.666666666666664,-130.89504333333332,46.666666666666664,0.9333333333333333,0.5666666666666667,41.961949999999995,10.0,1.6778000000000002,3.0932000000000004,56.1,5,30
DoubleDQN,0.0,0.2,1,n0.0_p0.2,13.333333333333334,-112.86529666666667,23.333333333333332,0.26666666666666666,0.6666666666666666,33.89555,10.9,1.9060000000000001,1.3710499999999999,53.53333333333333,4,30
DoubleDQN,0.0,0.2,2,n0.0_p0.2,10.0,-134.53512666666666,23.333333333333332,0.23333333333333334,0.9333333333333333,86.46542666666667,11.1,3.2189333333333328,2.4809,56.96666666666667,3,30
DoubleDQN,0.0,0.2,3,n0.0_p0.2,0.0,-137.41541999999998,3.3333333333333335,0.03333333333333333,0.7,36.52677666666667,11.3,,,60.0,0,30
DoubleDQN,0.0,0.2,4,n0.0_p0.2,46.666666666666664,-15.578546666666663,3.3333333333333335,0.03333333333333333,0.2,4.410983333333333,6.933333333333334,2.305278571428571,1.1143785714285714,37.03333333333333,14,30
DoubleDQN,0.0,0.2,5,n0.0_p0.2,3.3333333333333335,-141.71043999999998,23.333333333333332,0.23333333333333334,0.36666666666666664,86.30962666666666,11.533333333333333,3.6665,1.0,58.03333333333333,1,30
DoubleDQN,0.0,0.4,0,n0.0_p0.4,16.666666666666664,-124.64993666666668,33.33333333333333,0.43333333333333335,22.3,87.05708999999999,21.2,6.23166,2.52018,54.0,5,30
DoubleDQN,0.0,0.4,1,n0.0_p0.4,20.0,-100.2120433333333,23.333333333333332,0.26666666666666666,19.966666666666665,20.73537333333333,21.233333333333334,6.3953,2.3804166666666666,53.4,6,30
DoubleDQN,0.0,0.4,2,n0.0_p0.4,10.0,-140.42189999999997,13.333333333333334,0.8666666666666667,24.7,58.138986666666675,21.3,4.4219333333333335,2.941966666666667,56.833333333333336,3,30
DoubleDQN,0.0,0.4,3,n0.0_p0.4,0.0,-152.89747,13.333333333333334,0.5666666666666667,24.233333333333334,42.77718333333333,23.833333333333332,,,60.0,0,30
DoubleDQN,0.0,0.4,4,n0.0_p0.4,30.0,-60.520549999999986,3.3333333333333335,0.03333333333333333,7.9,7.870976666666667,17.766666666666666,3.016344444444444,1.412288888888889,46.03333333333333,9,30
DoubleDQN,0.0,0.4,5,n0.0_p0.4,3.3333333333333335,-137.4376433333333,20.0,0.26666666666666666,20.566666666666666,51.02507,22.9,0.9452,1.0,58.03333333333333,1,30
DoubleDQN,0.1,0.0,0,n0.1_p0.0,40.0,-55.71555,43.333333333333336,0.5666666666666667,0.3,25.425853333333333,0.0,2.311916666666667,1.1769583333333333,41.13333333333333,12,30
DoubleDQN,0.1,0.0,1,n0.1_p0.0,26.666666666666668,-102.59158333333335,26.666666666666668,1.2666666666666666,0.4666666666666667,23.881313333333328,0.0,2.5129125,1.2372874999999999,46.3,8,30
DoubleDQN,0.1,0.0,2,n0.1_p0.0,33.33333333333333,-77.14115666666666,10.0,0.1,0.6333333333333333,79.89955666666667,0.0,3.3795200000000003,1.71144,48.666666666666664,10,30
DoubleDQN,0.1,0.0,3,n0.1_p0.0,16.666666666666664,-98.7531033333333,3.3333333333333335,0.03333333333333333,0.5,20.303650000000005,0.0,2.18902,3.80972,54.0,5,30
DoubleDQN,0.1,0.0,4,n0.1_p0.0,76.66666666666667,38.011023333333334,20.0,0.2,0.2,4.264853333333333,0.0,2.563395652173913,1.6007173913043478,29.766666666666666,23,30
DoubleDQN,0.1,0.0,5,n0.1_p0.0,26.666666666666668,-94.11375666666666,40.0,0.5333333333333333,0.6333333333333333,78.51881333333334,0.0,1.6169124999999998,1.5829499999999999,47.266666666666666,8,30
DoubleDQN,0.1,0.2,0,n0.1_p0.2,30.0,-93.40795333333332,53.333333333333336,1.0333333333333334,18.033333333333335,27.02619,8.7,5.438577777777778,1.6280444444444444,46.166666666666664,9,30
DoubleDQN,0.1,0.2,1,n0.1_p0.2,33.33333333333333,-86.56669333333335,36.666666666666664,0.8666666666666667,17.433333333333334,34.84959333333334,9.866666666666667,6.93244,5.25384,47.36666666666667,10,30
