algorithm,noise_std,packet_error_rate,condition,n_seeds,success_rate_mean,success_rate_sd,success_rate_sem,success_rate_ci95_hw,success_rate_boot_lo,success_rate_boot_hi,mean_reward_mean,mean_reward_sd,mean_reward_sem,mean_reward_ci95_hw,mean_reward_boot_lo,mean_reward_boot_hi,collision_rate_mean,collision_rate_sd,collision_rate_sem,collision_rate_ci95_hw,collision_rate_boot_lo,collision_rate_boot_hi,collisions_per_ep_mean,collisions_per_ep_sd,collisions_per_ep_sem,collisions_per_ep_ci95_hw,collisions_per_ep_boot_lo,collisions_per_ep_boot_hi,iala_violations_mean,iala_violations_sd,iala_violations_sem,iala_violations_ci95_hw,iala_violations_boot_lo,iala_violations_boot_hi,cte_mean_mean,cte_mean_sd,cte_mean_sem,cte_mean_ci95_hw,cte_mean_boot_lo,cte_mean_boot_hi,dropped_frames_mean,dropped_frames_sd,dropped_frames_sem,dropped_frames_ci95_hw,dropped_frames_boot_lo,dropped_frames_boot_hi,docking_accuracy_mean,docking_accuracy_sd,docking_accuracy_sem,docking_accuracy_ci95_hw,docking_accuracy_boot_lo,docking_accuracy_boot_hi,optimality_ratio_mean,optimality_ratio_sd,optimality_ratio_sem,optimality_ratio_ci95_hw,optimality_ratio_boot_lo,optimality_ratio_boot_hi,mean_steps_mean,mean_steps_sd,mean_steps_sem,mean_steps_ci95_hw,mean_steps_boot_lo,mean_steps_boot_hi
DoubleDQN,0.0,0.2,n0.0_p0.2,6,14.999999999999998,16.69996673316713,6.817732869618865,17.525540274862895,5.0,28.888888888888886,-112.16664555555553,48.35532481952253,19.74097869239488,50.74580124435379,-137.17115888888887,-72.03440333333333,20.555555555555554,16.113026706042216,6.5781156069403055,16.909584491916497,10.0,31.666666666666668,0.2888888888888889,0.3324432560881909,0.13571939097424418,0.3488778011820152,0.09999999999999999,0.5555555555555557,0.5722222222222223,0.25941529695894244,0.10590585150366362,0.27223965816291457,0.38333333333333336,0.7555555555555556,48.261718888888886,32.29190718602966,13.183115904514343,33.888278281232765,25.821512222222225,70.72507222222222,10.294444444444444,1.7288938874534996,0.7058179739463136,1.814362863092019,8.872222222222222,11.27222222222222,2.554902380952381,0.8557571655194411,0.3827062388668019,1.0625628636303917,1.8945757142857143,3.2248866666666665,1.8119057142857145,0.9259261803260914,0.41408677627117374,1.1496892031052364,1.1199614285714286,2.5749757142857144,53.61111111111111,8.398297887513126,3.4285907553835058,8.81347311761943,46.605555555555554,58.18888888888889
DoubleDQN,0.0,0.4,n0.0_p0.4,6,13.33333333333333,11.15546702045434,4.554200340426489,11.70694467094905,5.5555555555555545,21.666666666666668,-119.35659055555554,33.91717911354254,13.846630390460383,35.593896566487224,-141.40236388888889,-93.27220611111107,17.777777777777775,10.2559828970794,4.186987484759283,10.76299397435879,10.000000000000002,25.0,0.4055555555555555,0.28861097743553743,0.11782493814716272,0.30287864578606866,0.2055555555555556,0.6222222222222222,19.944444444444446,6.197012422366359,2.5299197274143888,6.503365696909404,14.922222222222222,23.45555555555556,44.60078000000001,28.103574127299098,11.47323609339431,29.492892297646353,24.210745555555558,65.21805388888889,21.37222222222222,2.0710079850338756,0.8454854694270894,2.173389590003718,19.78333333333333,22.777777777777782,4.202087555555555,2.2907957446486247,1.024475001520315,2.8443986033685857,2.4167208888888885,5.935170666666666,2.0509704444444443,0.8116371869373078,0.3629751846117049,1.0077806746234355,1.3883933333333336,2.6609420000000004,54.71666666666666,4.9201964730418375,2.0086617988656585,5.163429534100626,50.916666666666664,58.01666666666667
DoubleDQN,0.1,0.0,n0.1_p0.0,6,36.666666666666664,21.0818510677892,8.606629658238706,22.124045865517196,23.88888888888889,53.88888888888889,-65.05068777777778,53.37578881677758,21.790574536609626,56.014455091887896,-95.65738111111109,-20.235870000000006,23.888888888888886,15.974516743400573,6.521569151479641,16.764227200639695,12.7638888888889,35.55555555555556,0.45,0.45740815714438476,0.1867360981984211,0.48002042208646034,0.1611111111111111,0.8277777777777778,0.45555555555555555,0.17596295906514803,0.0718365772233094,0.1846618005445245,0.32222222222222224,0.5777777777777778,38.715673333333335,32.25815045663599,13.169334777447725,33.85285276632072,16.664785555555557,61.254108333333335,0.0,0.0,0.0,0.0,0.0,0.0,2.4289462198067633,0.5760862378197107,0.23518622174965534,0.6045654296215982,2.027758134057971,2.887335416666667,1.853178870772947,0.9819877733360489,0.40089482972085744,1.0305329672809493,1.3353598429951692,2.6601395833333332,44.52222222222222,8.329563591787364,3.4005300966572265,8.741340898001665,38.194444444444436,49.844444444444434
DoubleDQN,0.1,0.2,n0.1_p0.2,6,29.444444444444443,17.180954140710146,7.014095156482946,18.03030560267971,16.666666666666664,42.77777777777777,-86.79617,52.72175412357751,21.52356599120664,55.328087775115314,-124.73254666666664,-46.11178666666666,30.0,17.511900715418264,7.149203529842406,18.37761273307991,16.666666666666664,41.666666666666664,0.6,0.4501851470969102,0.18378731669453632,0.47244033791531376,0.2722222222222223,0.9166666666666666,17.344444444444445,5.957242712928586,2.432034153431401,6.251742818457901,12.577777777777778,20.805555555555554,44.493766111111114,40.0287487189198,16.341668233906557,42.007595526075164,18.01683888888889,76.1151722222222,9.361111111111112,1.6290988192749276,0.665076807965687,1.7096343618595762,8.138888888888891,10.544444444444444,5.296429355742297,0.9557491251350811,0.3901829464487296,1.0029971947161611,4.614533473389355,6.058931904761905,2.827468120136944,1.733039674952257,0.7075104846053079,1.8187136002486504,1.6345030656707127,4.132818888888889,48.37222222222223,7.856021516904984,3.207207354123784,8.244388967629803,42.63333333333333,53.677777777777784
DoubleDQN,0.1,0.4,n0.1_p0.4,6,19.999999999999996,19.77652929892177,8.073734277593312,20.754194679735647,6.111111111111112,34.44444444444444,-116.17874666666665,53.041877792969835,21.654255931973076,55.6640369629499,-152.22812666666667,-76.08379666666667,28.888888888888886,13.443985299781488,5.4884840156570975,14.108597315828392,18.88888888888889,38.888888888888886,0.7722222222222221,0.5434117189537748,0.22184690528090778,0.5702756250072315,0.39444444444444443,1.1666666666666667,40.961111111111116,16.114043794386543,6.578530831518127,16.910651860673955,29.155555555555555,52.077777777777776,53.78762,33.059579391923315,13.49651677020705,34.69390085385514,30.968005,79.1383538888889,20.33888888888889,3.5627964464053403,1.4545055585157065,3.7389255685525273,17.822222222222223,22.777777777777775,5.265413522588522,3.198496441085918,1.305780704128076,3.3566161593560286,2.825496428571429,7.477696489621489,2.9270156898656894,1.811039190154527,0.7393536533436447,1.9005690713965213,1.6865904761904762,4.274864102564102,52.32777777777778,9.010522655124868,3.6785304701406356,9.455963608378228,45.96111111111111,58.294444444444444
DoubleDQN,0.25,0.0,n0.25_p0.0,6,46.111111111111114,29.91964547225092,12.214644115331298,31.398742291632633,25.555555555555554,68.88888888888889,-61.12928555555556,67.62485968890657,27.607733360854713,70.96793790050381,-107.74298833333334,-10.811615000000012,40.0,20.548046676563256,8.388704928078612,21.563852512631712,25.555555555555554,55.55555555555555,1.1444444444444446,0.9597839263006989,0.39183014712695463,1.007231458859254,0.48888888888888893,1.8833333333333335,24.977777777777778,9.082942907001664,3.7080959141643,9.531964001747983,18.155555555555555,31.233333333333334,31.973139444444445,34.459470766838955,14.068020030851468,36.1629967546746,11.818831666666666,59.60692388888889,0.0,0.0,0.0,0.0,0.0,0.0,5.291719584500467,0.8176823957815925,0.333817440220231,0.858105048248737,4.654822852474323,5.826432282913166,1.8672291900093372,0.5638477168593103,0.23018986648976575,0.59172188954614,1.4450920985060691,2.2606061274509806,41.35,12.497568652430848,5.102111037309658,13.11539395590776,31.17777777777778,49.449999999999996
DoubleDQN,0.25,0.2,n0.25_p0.2,6,31.66666666666666,24.106246309019397,9.841333845157978,25.29795402079598,19.44444444444444,51.666666666666664,-94.1688711111111,62.9192360356605,25.686670548850685,66.02968873084984,-128.461625,-40.78931277777777,37.77777777777778,9.813067629253164,4.006168083848878,10.298182906847863,30.555555555555554,44.44444444444445,0.8888888888888888,0.6375880476597084,0.260294230477268,0.6691076207857974,0.45555555555555555,1.3555555555555554,46.9,12.872123195322345,5.2550222891305856,13.508464842303047,36.3,53.44444444444445,47.17362833333333,24.168693802536986,9.866827927630286,25.36348864611551,29.550556111111106,64.15503,9.666666666666666,1.733461533720575,0.7076827077262908,1.819156313875126,8.227777777777778,10.52222222222222,9.331052658730158,2.033867546006906,0.8303229486872516,2.1344130896074325,7.645237777777779,10.581174206349205,3.111007817460317,1.0931618199704385,0.44628144420329674,1.1472029740505358,2.441554444444444,4.019009702380952,48.76111111111111,8.410031488028427,3.4333809777348634,8.825786776184488,41.71111111111111,53.20555555555555
DoubleDQN,0.25,0.4,n0.25_p0.4,6,22.222222222222218,17.847087115787787,7.28604280478,18.729369287636132,8.888888888888888,34.99999999999999,-107.11311111111111,35.54683144266434,14.511933167874812,37.304111801307144,-132.17052,-80.0046888888889,30.555555555555554,11.43419173972261,4.6679892305777795,11.999448325069174,21.666666666666668,38.333333333333336,0.5944444444444444,0.32415131354673554,0.13233421960707042,0.34017594115504224,0.3611111111111111,0.8277777777777778,64.91666666666667,13.578099196050152,5.543235784536228,14.249341218378039,55.17222222222222,74.69444444444444,43.64230388888888,18.27613116694953,7.461199305200472,19.17962340601062,33.20802166666667,58.916882777777765,20.400000000000002,2.8460498941515415,1.1618950038622253,2.986746191844821,18.177777777777777,22.222361111111113,11.053357272727274,2.4410439040763072,1.0916680211152197,3.0309563337263192,9.17556,13.03094181818182,4.6423736363636365,1.709309787889605,0.7644265760653807,2.122388425399839,3.334747272727273,5.95,52.56666666666666,6.692118083569988,2.732045767199751,7.022947223290759,47.52777777777777,57.294444444444444
DuelingDQN,0.0,0.0,n0.0_p0.0,6,41.666666666666664,23.261795096490534,9.496588081262933,24.411756822214812,26.11111111111111,60.0,-37.351388888888884,47.336910564655554,19.32521281386141,49.67704102911828,-70.64511166666666,-1.2331833333333313,18.888888888888886,17.5962959065148,7.183657722330938,18.466180054452447,6.666666666666667,32.22222222222222,0.18888888888888888,0.17596295906514803,0.0718365772233094,0.1846618005445245,0.06666666666666667,0.32222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,14.96965166666667,17.314863198031883,7.068763300212173,18.170834539938017,3.2068822222222226,28.39426111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1849916666666667,0.3656263213461405,0.1492663206381529,0.3837012925047017,1.0,1.4896472222222223,41.69444444444444,7.343793045579123,2.9980909563780833,7.706838154051006,36.77777777777778,47.23333333333334
DuelingDQN,0.0,0.2,n0.0_p0.2,6,29.444444444444443,19.597807889508307,8.000771567730974,20.566638063084717,15.555555555555555,43.333333333333336,-81.09112333333333,45.53253957672942,18.588581442677974,47.783469806794265,-114.79040055555555,-48.0251938888889,25.555555555555554,21.87506613746615,8.930458354404495,22.956474029738764,12.222222222222221,43.33333333333332,0.5,0.6656659155395529,0.2717569720390847,0.6985735360311969,0.15555555555555553,1.05,0.49444444444444446,0.15263124285773308,0.062311443968044236,0.1601766660165245,0.38333333333333336,0.6055555555555555,43.037333888888895,33.04698700385596,13.491375949305695,34.68068595302586,19.278205,67.23174000000002,9.066666666666668,1.5514867421641443,0.6333918101658602,1.6281854820531647,7.9444444444444455,10.216666666666667,2.1056423076923076,0.422406730822856,0.17244682573886014,0.4432886778574547,1.7857500000000002,2.3863423076923076,1.44850296474359,0.39321121337873455,0.16052780565308966,0.4126498613263887,1.18814358974359,1.7646864583333333,47.01666666666667,7.668543248593931,3.130669671586671,8.047642591158201,41.60555555555556,52.47222222222222
DuelingDQN,0.0,0.4,n0.0_p0.4,6,26.11111111111111,15.5515867953033,6.348908723182959,16.32038943992706,15.555555555555555,38.333333333333336,-95.67664944444444,27.802180868407866,11.350192810694631,29.1765994701415,-116.15469333333334,-75.87655444444444,25.555555555555554,15.299479536052004,6.245986365580087,16.055819096992252,13.888888888888891,36.666666666666664,0.5777777777777778,0.5957876827888966,0.24322930297799336,0.6252408281297114,0.23333333333333336,1.0611111111111111,17.122222222222224,3.797230959918419,1.5502130478831482,3.9849495022548282,14.466666666666669,19.96111111111111,49.05771388888889,42.367247734088245,17.2963564591005,44.461699736454584,21.59917833333333,82.28423611111111,18.766666666666666,2.699300320865061,1.1019847414417183,2.832741959498461,16.71666666666667,20.644999999999992,4.619214004629629,1.8311902269349198,0.7475802796603145,1.9217162875747205,3.170518449074074,5.774161574074074,1.9520709490740742,0.7586770182404414,0.30972859571088124,0.796182702111535,1.445117037037037,2.492550787037037,48.66111111111112,6.98882971181447,2.85317778219131,7.3343269807420866,43.23888888888889,53.62222222222221
DuelingDQN,0.1,0.0,n0.1_p0.0,6,36.11111111111111,19.710873103911926,8.046930248222182,20.685292728712355,20.555555555555554,48.333333333333336,-58.75836666666666,56.744685191801864,23.165920722463195,59.54989501495477,-105.70439111111112,-24.929510555555556,25.0,17.857460314638498,7.2902776454774445,18.740255292209795,12.222222222222221,38.333333333333336,0.3055555555555556,0.24441919061469117,0.09978371672500876,0.256502209705587,0.13333333333333333,0.48333333333333334,0.3055555555555555,0.08277591347639635,0.03379312516832345,0.08686799372707663,0.24444444444444444,0.3611111111111111,42.68955833333334,52.973081849026215,21.626170105467246,55.591840047495175,13.225278888888889,87.75493666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.5062307175324676,0.5150775990916561,0.23034970505126537,0.6395533110733425,2.1542989166666664,2.9644431168831167,1.616504275974026,0.5084239456918453,0.2273741007911255,0.6312917091902713,1.2768059545454544,2.0671748214285715,42.77777777777778,9.314496865201676,3.8026274217495954,9.77496497804206,37.11666666666667,50.40555555555556
DuelingDQN,0.1,0.2,n0.1_p0.2,6,36.666666666666664,22.310934040908684,9.108400680852979,23.413889341898102,22.222222222222218,54.44444444444445,-71.09538500000001,61.18846076819927,24.980084504732506,64.21335148052553,-110.2771776111111,-23.047658333333327,31.11111111111111,12.412657816683504,5.0674463337739475,13.026285498661144,22.222222222222218,40.0,0.6055555555555555,0.4213294655237378,0.1720070340221191,0.4421581572589368,0.3111111111111111,0.9111111111111113,16.650000000000002,5.668303685113092,2.314075289277435,5.948519904911423,12.011111111111111,20.094444444444445,55.719976111111116,39.17082861004661,15.991423816104506,41.10726358764019,26.814790555555557,83.74069444444446,8.777777777777779,1.8735191683230983,0.7648609976191834,1.9661377872665429,7.355555555555554,10.044722222222218,4.761150901320901,1.130057198734837,0.46134391950987913,1.185922299473357,3.879456153846153,5.5193164568764566,1.6159960720921591,0.42082300475519213,0.1718002722791733,0.44162665927821587,1.3192800966183578,1.9298039316239315,44.32222222222222,8.427274942884143,3.4404205887014006,8.843882672265014,37.76111111111111,49.59444444444444
DuelingDQN,0.1,0.4,n0.1_p0.4,6,38.888888888888886,16.821502993578278,6.867349840161086,17.653084758078034,26.66666666666666,50.55555555555555,-69.55042111111112,45.277902575861525,18.48462632238481,47.51624466284727,-100.24036222222223,-37.9929038888889,37.222222222222214,21.230655683250593,8.667378888113953,22.2802067323634,22.77777777777777,53.333333333333336,0.7666666666666666,0.4807401700618652,0.19626135258506328,0.5045058679925778,0.45555555555555555,1.1555555555555557,33.08888888888888,9.955582837264208,4.064349673884488,10.447743445361843,26.022222222222222,40.66111111111111,28.163769444444444,28.241654896853685,11.529607331510904,29.637799178401202,13.835724444444445,51.525665000000004,17.6,2.2466765578417283,0.9172018639641218,2.3577424511179412,16.01666666666667,19.250000000000004,8.438058808940243,2.2880289344383966,0.9340839010163297,2.4011391089128855,6.938831507352941,10.284004513888886,2.0069762949346406,0.4049624290346203,0.1653252193554772,0.4249820058477789,1.7211259027777777,2.3067044444444442,44.84444444444444,5.561441326637334,2.2704489141147706,5.836374737363622,41.00555555555555,48.82222222222222
