agent,condition,metric,shapiro_W,p_value,normal
DuelingDQN,clean,optimality_ratio,0.3779031364636569,7.52676027583336e-07,False
DuelingDQN,harsh,success_rate,0.913149633529074,0.151335273767723,True
DuelingDQN,harsh,mean_reward,0.9513323911332802,0.5456768400287629,True
DuelingDQN,harsh,collision_rate,0.9300578048946417,0.273420036098174,True
DuelingDQN,harsh,collisions_per_ep,0.9421244372098729,0.4098369440330282,True
DuelingDQN,harsh,iala_violations,0.925106005296698,0.23032093813751153,True
DuelingDQN,harsh,cte_mean,0.7648134127386508,0.0013456474040867865,False
DuelingDQN,harsh,docking_accuracy,0.9696620048104192,0.8530177833338071,True
DuelingDQN,harsh,optimality_ratio,0.9634480964166718,0.752045995419353,True
DuelingDQN,mid,success_rate,0.9402980834485593,0.3861332593253477,True
DuelingDQN,mid,mean_reward,0.8744326321515627,0.03921758342897035,False
DuelingDQN,mid,collision_rate,0.9733563846938352,0.9042713509362933,True
DuelingDQN,mid,collisions_per_ep,0.8211045700082659,0.00694903201080537,False
DuelingDQN,mid,iala_violations,0.9493023122647154,0.5135301315697904,True
DuelingDQN,mid,cte_mean,0.8680664739823184,0.03160931553991131,False
DuelingDQN,mid,docking_accuracy,0.9396315964365537,0.377760400435394,True
DuelingDQN,mid,optimality_ratio,0.9032722921257302,0.10679486716680847,True
DuelingDoubleDQN,clean,success_rate,0.9282974352653086,0.25730894368279134,True
DuelingDoubleDQN,clean,mean_reward,0.9849831103308277,0.9926620717886095,True
DuelingDoubleDQN,clean,collision_rate,0.5782310155190195,1.6184039260153914e-05,False
DuelingDoubleDQN,clean,collisions_per_ep,0.5782310155190197,1.6184039260153975e-05,False
DuelingDoubleDQN,clean,iala_violations,,,
DuelingDoubleDQN,clean,cte_mean,0.8629263540969095,0.026603241801462278,False
DuelingDoubleDQN,clean,docking_accuracy,,,
DuelingDoubleDQN,clean,optimality_ratio,0.3497723070067825,8.920906990842033e-07,False
DuelingDoubleDQN,harsh,success_rate,0.9124352131595704,0.1475669182891446,True
DuelingDoubleDQN,harsh,mean_reward,0.8915049536001904,0.07067099926761077,True
DuelingDoubleDQN,harsh,collision_rate,0.9740412885442451,0.912734163758027,True
DuelingDoubleDQN,harsh,collisions_per_ep,0.9177858372575214,0.17820566489668388,True
DuelingDoubleDQN,harsh,iala_violations,0.8853273397874033,0.05701509019175582,True
DuelingDoubleDQN,harsh,cte_mean,0.9362568442702175,0.3376260885845678,True
DuelingDoubleDQN,harsh,docking_accuracy,0.8404569521103382,0.016522834208031835,False
DuelingDoubleDQN,harsh,optimality_ratio,0.9040145347679165,0.12898778016459594,True
