condition,metric,baseline,vs,n,mean_x,mean_y,mean_diff,wilcoxon_p,t_p,cohens_dz,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,sig_holm,effect_mag
harsh,mean_reward,RuleBased,DoubleDQN,15,-34.93427,-115.54647711111114,80.61220711111112,0.0008544921875,0.00023622209947107538,1.264042720815317,0.8577777777777778,0.0025634765625,0.0011393229166666667,True,large
harsh,mean_reward,RuleBased,DuelingDQN,15,-34.93427,-99.7635526666667,64.82928266666667,0.00335693359375,0.0020939764435436827,0.9718997782447724,0.68,0.00335693359375,0.00335693359375,True,large
harsh,mean_reward,RuleBased,DuelingDoubleDQN,15,-34.93427,-111.35318488888886,76.4189148888889,0.0008544921875,0.000687424617856695,1.118928885819248,0.76,0.0025634765625,0.0011393229166666667,True,large
harsh,collision_rate,RuleBased,DQN,15,34.222222222222214,42.44444444444444,-8.222222222222221,0.2719476239947354,0.1658066476339539,-0.37750329364000124,-0.23555555555555555,0.5438952479894708,0.3625968319929805,False,small
harsh,collision_rate,RuleBased,DoubleDQN,15,34.222222222222214,37.777777777777764,-3.5555555555555545,0.45428466796875,0.46678307547052533,-0.1931580041681535,-0.07555555555555556,0.5438952479894708,0.45428466796875,False,negligible
harsh,collision_rate,RuleBased,DuelingDQN,15,34.222222222222214,44.22222222222222,-10.0,0.03528372266723776,0.045936327381384846,-0.5655059277449891,-0.3422222222222222,0.14113489066895105,0.14113489066895105,False,medium
harsh,collision_rate,RuleBased,DuelingDoubleDQN,15,34.222222222222214,45.777777777777764,-11.555555555555552,0.0946044921875,0.09016910814556331,-0.469974854485357,-0.3377777777777778,0.2838134765625,0.189208984375,False,small
harsh,collisions_per_ep,RuleBased,DQN,15,0.5333333333333333,1.2822222222222224,-0.7488888888888889,0.00030517578125,0.0006720266228645305,-1.1219584410020667,-0.7911111111111111,0.001220703125,0.001220703125,True,large
harsh,collisions_per_ep,RuleBased,DoubleDQN,15,0.5333333333333333,1.02,-0.48666666666666664,0.01806640625,0.02123251433096525,-0.6697126918131147,-0.49777777777777776,0.01806640625,0.01806640625,True,medium
harsh,collisions_per_ep,RuleBased,DuelingDQN,15,0.5333333333333333,1.168888888888889,-0.6355555555555557,0.00152587890625,0.0006497946229036594,-1.1264607661511798,-0.6488888888888888,0.0030517578125,0.0020345052083333335,True,large
harsh,collisions_per_ep,RuleBased,DuelingDoubleDQN,15,0.5333333333333333,1.4044444444444444,-0.8711111111111113,0.0006103515625,0.00042534725015484434,-1.1835433433209133,-0.7644444444444445,0.0018310546875,0.001220703125,True,large
harsh,iala_violations,RuleBased,DQN,15,24.26888888888889,57.67555555555556,-33.406666666666666,6.103515625e-05,3.72854260752728e-07,-2.3054147617944665,-0.9555555555555556,0.000244140625,0.0001220703125,True,large
harsh,iala_violations,RuleBased,DoubleDQN,15,24.26888888888889,63.16000000000001,-38.89111111111111,6.103515625e-05,2.5398721480241873e-07,-2.379798517966193,-0.9911111111111112,0.000244140625,0.0001220703125,True,large
harsh,iala_violations,RuleBased,DuelingDQN,15,24.26888888888889,59.388888888888886,-35.12,0.0001220703125,1.6669906305415333e-06,-2.030899838851263,-0.9555555555555556,0.000244140625,0.0001220703125,True,large
harsh,iala_violations,RuleBased,DuelingDoubleDQN,15,24.26888888888889,57.92666666666667,-33.65777777777778,0.0001220703125,3.4552858768840104e-06,-1.9055907393796836,-0.9466666666666667,0.000244140625,0.0001220703125,True,large
harsh,cte_mean,RuleBased,DQN,15,22.83409777777778,31.99136177777778,-9.157264,0.03533935546875,0.03510347590532262,-0.6022909587711327,-0.5022222222222222,0.03533935546875,0.03533935546875,True,medium
