agent,metric,clean_mean,harsh_mean,abs_change,wilcoxon_p,cohens_dz,effect_mag,cliffs_delta,wilcoxon_p_holm,sig_holm
DuelingDQN,success_rate,32.222222222222214,32.666666666666664,0.44444444444444475,0.5718922635979182,0.016955503260468286,negligible,0.017777777777777778,1.0,False
DuelingDQN,mean_reward,-59.60054244444445,-99.7635526666667,-40.16301022222222,0.02154541015625,-0.720856711687161,medium,-0.4311111111111111,0.086181640625,False
DuelingDQN,collision_rate,10.22222222222222,44.22222222222222,34.0,0.0009758787856927137,1.547282404810669,large,0.88,0.0009758787856927137,True
DuelingDQN,collisions_per_ep,0.13333333333333333,1.168888888888889,1.0355555555555553,0.0001220703125,1.5965499270487091,large,0.9466666666666667,0.00030517578125,True
DuelingDQN,iala_violations,0.0,59.388888888888886,59.388888888888886,6.103515625e-05,4.896593156572113,large,1.0,0.00030517578125,True
DuelingDQN,cte_mean,25.575630222222223,35.57537222222222,9.999741999999992,0.12054443359375,0.20524318281839352,small,0.5111111111111111,0.36163330078125,False
DuelingDQN,docking_accuracy,0.0,11.370193353662318,11.370193353662318,0.0001220703125,3.3203586894749773,large,1.0,0.00048828125,True
DuelingDQN,optimality_ratio,1.0792821428571429,2.970635630020564,1.8913534871634212,0.0001220703125,2.6555542253402273,large,0.9897959183673469,0.0006103515625,True
DuelingDoubleDQN,success_rate,17.777777777777775,29.55555555555555,11.777777777777775,0.063720703125,0.5490785680049619,medium,0.29333333333333333,0.2548828125,False
DuelingDoubleDQN,mean_reward,-92.42682022222222,-111.35318488888886,-18.92636466666666,0.207763671875,-0.31984708729871864,small,-0.26222222222222225,0.41552734375,False
DuelingDoubleDQN,collision_rate,4.666666666666666,45.777777777777764,41.1111111111111,6.103515625e-05,2.7710441890081605,large,0.9777777777777777,0.00030517578125,True
DuelingDoubleDQN,collisions_per_ep,0.046666666666666655,1.4044444444444444,1.3577777777777778,6.103515625e-05,1.7670898636935295,large,0.9911111111111112,0.00030517578125,True
DuelingDoubleDQN,iala_violations,0.0,57.92666666666667,57.92666666666667,6.103515625e-05,4.386797190708952,large,1.0,0.00030517578125,True
DuelingDoubleDQN,cte_mean,27.64349311111111,35.957752222222226,8.314259111111115,0.27685546875,0.2839804488861721,small,0.3688888888888889,0.5537109375,False
DuelingDoubleDQN,docking_accuracy,0.0,11.478041811938063,11.478041811938063,0.00048828125,3.744426073217068,large,1.0,0.00146484375,True
DuelingDoubleDQN,optimality_ratio,1.143572222222222,3.041301922938173,1.8977297007159504,0.00048828125,2.012587185353556,large,0.9444444444444444,0.001953125,True
