config_id,pairing,condition,noise_std,packet_error_rate,seed,env_seed,phase,episode,direction,agent,reward,success,steps,collisions,cte_mean,iala_violations,dropped_frames,docking_accuracy,lane,vessel_collisions,vessel_collision_flag,collision_contact_steps,near_misses,min_cpa,encounter_steps,give_way_events,head_on_events
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,9,inbound,RuleBased,-122.078,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,10,inbound,RuleBased,-129.143,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,11,inbound,RuleBased,-129.143,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,12,inbound,RuleBased,-129.143,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,13,inbound,RuleBased,-124.036,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,14,inbound,RuleBased,-128.076,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,15,inbound,RuleBased,-128.076,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,16,inbound,RuleBased,-123.026,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,17,inbound,RuleBased,-127.056,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,18,inbound,RuleBased,-122.078,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,19,inbound,RuleBased,-129.143,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,20,inbound,RuleBased,-127.056,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,21,inbound,RuleBased,-124.036,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,22,inbound,RuleBased,-129.143,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,23,inbound,RuleBased,-124.946,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,24,inbound,RuleBased,-123.026,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
