algorithm,noise_std,packet_error_rate,metric,shapiro_W,p_value,normal
DQN,0.1,0.2,cte_mean,0.7729181523008664,0.03308010536068875,False
DQN,0.1,0.2,docking_accuracy,0.8166134699215786,0.10991785203589083,True
DQN,0.1,0.2,dropped_frames,0.9020907559418072,0.3864357509575513,True
DQN,0.1,0.2,optimality_ratio,0.7520914830847945,0.031116819738973865,False
DQN,0.1,0.4,success_rate,0.9837761080763877,0.9687151351804452,True
DQN,0.1,0.4,mean_reward,0.8269411222559413,0.10124268742926523,True
DQN,0.1,0.4,collision_rate,0.941685813649315,0.6728101589324489,True
DQN,0.1,0.4,collisions_per_ep,0.8992459944908783,0.3694922832825175,True
DQN,0.1,0.4,iala_violations,0.9396062109408589,0.6560274013622902,True
DQN,0.1,0.4,cte_mean,0.8133192259084558,0.07718296417309706,True
DQN,0.1,0.4,docking_accuracy,0.6199599088069095,0.0007931427310956938,False
DQN,0.1,0.4,dropped_frames,0.9200878543643274,0.5059939439231397,True
DQN,0.1,0.4,optimality_ratio,0.8970715396819682,0.35690958565773667,True
DQN,0.25,0.0,success_rate,0.9130678551257395,0.4568847899730814,True
DQN,0.25,0.0,mean_reward,0.9476936836194094,0.7215717008682874,True
DQN,0.25,0.0,collision_rate,0.9423305969827531,0.6780288366003905,True
DQN,0.25,0.0,collisions_per_ep,0.7088102467681605,0.007644810452991376,False
DQN,0.25,0.0,iala_violations,0.9083580764769716,0.4256828170064028,True
DQN,0.25,0.0,cte_mean,0.8085173534130351,0.07001747863363333,True
DQN,0.25,0.0,docking_accuracy,0.9542696257299123,0.7746678884227136,True
DQN,0.25,0.0,dropped_frames,,,
DQN,0.25,0.0,optimality_ratio,0.7595455508495105,0.024661772856407475,False
DQN,0.25,0.2,success_rate,0.9413524994487461,0.6701149392855114,True
DQN,0.25,0.2,mean_reward,0.7689597027875894,0.0303460772073628,False
DQN,0.25,0.2,collision_rate,0.9261146128795715,0.5504484493587753,True
DQN,0.25,0.2,collisions_per_ep,0.9604235581510013,0.822999047608894,True
DQN,0.25,0.2,iala_violations,0.8983824694583816,0.36445720085850253,True
DQN,0.25,0.2,cte_mean,0.8991291806131196,0.36880821443820033,True
DQN,0.25,0.2,docking_accuracy,0.8172119626441737,0.08347032884392411,True
DQN,0.25,0.2,dropped_frames,0.9634948832882182,0.8462285594395159,True
DQN,0.25,0.2,optimality_ratio,0.8784391423231601,0.2619656330409904,True
DQN,0.25,0.4,success_rate,0.9875005848785726,0.9822069874777728,True
DQN,0.25,0.4,mean_reward,0.9711410194590386,0.9000097997414546,True
DQN,0.25,0.4,collision_rate,0.9190798605416723,0.49875859920627497,True
DQN,0.25,0.4,collisions_per_ep,0.929331446852707,0.5749489317709529,True
DQN,0.25,0.4,iala_violations,0.9496420466000051,0.7373819910494152,True
DQN,0.25,0.4,cte_mean,0.88516558679419,0.29362702647985894,True
DQN,0.25,0.4,docking_accuracy,0.9416174757451661,0.6722574233564254,True
DQN,0.25,0.4,dropped_frames,0.8808357140702298,0.2729169236608243,True
DQN,0.25,0.4,optimality_ratio,0.7343200103658452,0.013930527485644965,False
DoubleDQN,0.0,0.0,success_rate,0.8044956754862336,0.06448576172609616,True
DoubleDQN,0.0,0.0,mean_reward,0.9236411828912028,0.5319641700362598,True
DoubleDQN,0.0,0.0,collision_rate,0.8409154304165053,0.13265880787980305,True
DoubleDQN,0.0,0.0,collisions_per_ep,0.8409154304165057,0.13265880787980416,True
DoubleDQN,0.0,0.0,iala_violations,,,
DoubleDQN,0.0,0.0,cte_mean,0.8535846028273482,0.1682186931125203,True
DoubleDQN,0.0,0.0,docking_accuracy,,,
DoubleDQN,0.0,0.0,dropped_frames,,,
DoubleDQN,0.0,0.0,optimality_ratio,0.5074211326811595,2.96775370635488e-05,False
DoubleDQN,0.0,0.2,success_rate,0.8310695913971069,0.1097537491347747,True
DoubleDQN,0.0,0.2,mean_reward,0.6670837251977411,0.0027297886731598646,False
DoubleDQN,0.0,0.2,collision_rate,0.863279816638256,0.20070551378534035,True
DoubleDQN,0.0,0.2,collisions_per_ep,0.7509325037065869,0.02034303239802966,False
DoubleDQN,0.0,0.2,iala_violations,0.9788673879297674,0.9457911622329525,True
DoubleDQN,0.0,0.2,cte_mean,0.8856089015837129,0.2958155670028376,True
DoubleDQN,0.0,0.2,docking_accuracy,0.9166750364050099,0.5087213006047333,True
DoubleDQN,0.0,0.2,dropped_frames,0.7465343621813156,0.01841981098908031,False
DoubleDQN,0.0,0.2,optimality_ratio,0.863719055738378,0.2419113142610988,True
DoubleDQN,0.0,0.4,success_rate,0.9691047580058837,0.8863675638867895,True
DoubleDQN,0.0,0.4,mean_reward,0.8965622435920226,0.3540086090271174,True
DoubleDQN,0.0,0.4,collision_rate,0.9784488174735647,0.9435923851119942,True
DoubleDQN,0.0,0.4,collisions_per_ep,0.9673527810249676,0.8742034716317972,True
DoubleDQN,0.0,0.4,iala_violations,0.7691362055102366,0.030463392463218615,False
DoubleDQN,0.0,0.4,cte_mean,0.9778599133220252,0.9404387406888223,True
DoubleDQN,0.0,0.4,docking_accuracy,0.9216298342284676,0.5405081815631925,True
DoubleDQN,0.0,0.4,dropped_frames,0.8961182220419032,0.35149370705441896,True
DoubleDQN,0.0,0.4,optimality_ratio,0.921321469943469,0.5385003966899768,True
DoubleDQN,0.1,0.0,success_rate,0.8285496641605524,0.10448629925511271,True
DoubleDQN,0.1,0.0,mean_reward,0.7590349145543247,0.024383675557837492,False
DoubleDQN,0.1,0.0,collision_rate,0.9452537923819262,0.7017469180745288,True
DoubleDQN,0.1,0.0,collisions_per_ep,0.8689317962826767,0.22198019996889085,True
DoubleDQN,0.1,0.0,iala_violations,0.9089898843762609,0.4297843757625865,True
DoubleDQN,0.1,0.0,cte_mean,0.8147656878555984,0.07946757450896136,True
DoubleDQN,0.1,0.0,docking_accuracy,0.9508860253995678,0.7474516959480205,True
DoubleDQN,0.1,0.0,dropped_frames,,,
