config_id,algorithm,per,noisy,seed,success_rate,mean_reward,mean_steps,invalid_rate,revisit_rate,optimality_ratio,excess_cost,route_risk,route_difficulty,n_solved,n_eval
DuelingDQN,DuelingDQN,0,0,4,37.5,-42.08934999999999,40.55,0.0,30.325,1.0,0.0,0.4310666666666666,1.0552000000000001,15,40
DuelingDQN,DuelingDQN,0,0,5,40.0,-37.864200000000025,41.175,0.0,30.15,1.0,0.0,0.5968125,1.682,16,40
DuelingDQN,DuelingDQN,0,0,6,35.0,-46.964150000000004,41.025,0.0,33.025,1.0,0.0,0.31064285714285716,0.8216428571428572,14,40
DuelingDQN,DuelingDQN,0,0,7,42.5,-35.44847500000001,39.075,0.0,31.85,1.0,0.0,0.5131176470588236,1.3631176470588233,17,40
DuelingDQN,DuelingDQN,0,0,8,72.5,24.53475000000001,28.45,0.0,18.075,1.171603448275862,9.344827586206897,0.8631724137931035,2.206724137931034,29,40
DuelingDQN,DuelingDQN,0,0,9,32.5,-55.76520000000003,43.425,0.0,36.875,1.0,0.0,0.4005384615384615,1.1685384615384615,13,40
DuelingDQN+Noisy,DuelingDQN,0,1,0,60.0,8.29242499999999,29.975,0.0,18.275,1.0,0.0,0.5004583333333333,1.3732916666666668,24,40
DuelingDQN+Noisy,DuelingDQN,0,1,1,85.0,58.166500000000006,20.6,0.0,7.9,1.0352382352941176,3.0500000000000003,0.7360882352941176,2.0373235294117644,34,40
DuelingDQN+Noisy,DuelingDQN,0,1,2,0.0,-122.227225,60.0,0.0,49.825,,,,,0,40
DuelingDQN+Noisy,DuelingDQN,0,1,3,67.5,22.10020000000001,27.45,0.0,15.9,1.0,0.0,0.5701851851851851,1.5010740740740742,27,40
DuelingDQN+Noisy,DuelingDQN,0,1,4,52.5,-8.556799999999985,34.275,0.0,23.15,1.0321428571428573,2.5214285714285714,0.572857142857143,1.459857142857143,21,40
DuelingDQN+Noisy,DuelingDQN,0,1,5,62.5,15.221574999999987,29.85,0.0,17.375,1.004392,0.42200000000000004,0.5959599999999999,1.5932,25,40
DuelingDQN+Noisy,DuelingDQN,0,1,6,0.0,-122.71172499999997,60.0,0.0,49.125,,,,,0,40
DuelingDQN+Noisy,DuelingDQN,0,1,7,77.5,41.00497499999999,25.325,0.0,11.6,1.0205354838709677,2.0003225806451614,0.7696774193548386,1.9143225806451616,31,40
DuelingDQN+Noisy,DuelingDQN,0,1,8,80.0,42.249374999999986,25.025,0.0,13.1,1.207025,18.614062500000003,0.8818437499999999,2.1123125000000003,32,40
DuelingDQN+Noisy,DuelingDQN,0,1,9,60.0,3.7316500000000103,31.55,0.0,20.125,1.4590416666666666,28.034999999999997,0.5383333333333332,1.6476250000000003,24,40
DuelingDQN+PER,DuelingDQN,1,0,0,10.0,-102.7719,54.525,0.0,45.975,1.0,0.0,0.2665,0.7140000000000001,4,40
DuelingDQN+PER,DuelingDQN,1,0,1,25.0,-74.84472499999997,48.575,0.0,42.5,1.98705,37.496,0.6952999999999999,1.8563000000000003,10,40
DuelingDQN+PER,DuelingDQN,1,0,2,57.49999999999999,-5.632524999999996,33.0,0.0,26.025,1.2342695652173912,19.03217391304348,0.6969565217391305,1.747391304347826,23,40
DuelingDQN+PER,DuelingDQN,1,0,3,77.5,41.309425,24.675,0.0,12.25,1.1311451612903225,13.480967741935485,0.7221290322580645,1.7893225806451616,31,40
DuelingDQN+PER,DuelingDQN,1,0,4,60.0,3.778950000000026,29.75,0.0,21.95,1.0,0.0,0.505125,1.2271666666666665,24,40
DuelingDQN+PER,DuelingDQN,1,0,5,2.5,-123.254775,58.575,0.0,52.95,1.0,0.0,0.111,0.402,1,40
DuelingDQN+PER,DuelingDQN,1,0,6,55.00000000000001,-9.405875000000007,32.075,0.0,25.9,1.0,0.0,0.4986363636363635,1.3054545454545454,22,40
DuelingDQN+PER,DuelingDQN,1,0,7,42.5,-33.14037500000002,40.45,0.0,28.225,1.0,0.0,0.6481764705882354,1.7456470588235296,17,40
DuelingDQN+PER,DuelingDQN,1,0,8,70.0,25.28590000000001,25.075,0.0,17.3,1.034917857142857,2.8299999999999996,0.5044285714285714,1.2682142857142857,28,40
DuelingDQN+PER,DuelingDQN,1,0,9,87.5,63.0105,17.725,0.0,7.125,1.0,0.0,0.49045714285714276,1.5529714285714284,35,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,0,45.0,-29.65500000000001,37.625,0.0,27.925,1.024061111111111,1.6861111111111111,0.5048888888888889,1.3894444444444445,18,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,1,75.0,35.77397500000002,24.6,0.0,13.025,1.0102633333333333,1.0813333333333333,0.6878,1.9071333333333336,30,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,2,0.0,-123.31902499999997,60.0,0.0,50.525,,,,,0,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,3,50.0,-17.033449999999966,34.825,0.0,27.125,1.058535,4.087999999999999,0.47325,1.2601499999999999,20,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,4,25.0,-75.207,46.775,0.0,42.675,1.11692,5.4590000000000005,0.38459999999999994,0.9306000000000001,10,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,5,82.5,54.94005000000001,20.875,0.0,8.3,1.020151515151515,1.5948484848484847,0.6352727272727272,1.704121212121212,33,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,6,75.0,32.10117499999999,25.9,0.0,15.45,1.2868700000000002,18.983999999999998,0.7510999999999999,1.9564000000000001,30,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,7,50.0,-25.892874999999993,38.325,0.0,29.425,2.673905,71.072,0.8376999999999999,2.0955000000000004,20,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,8,47.5,-21.684099999999965,36.625,0.0,26.525,1.0055,0.541578947368421,0.5423157894736842,1.3631578947368421,19,40
DuelingDQN+PER+Noisy,DuelingDQN,1,1,9,72.5,32.303449999999984,25.775,0.0,14.65,1.0354103448275862,3.8793103448275863,0.5394827586206896,1.6736551724137931,29,40
DuelingDoubleDQN,DuelingDoubleDQN,0,0,0,10.0,-108.57467500000003,58.4,0.0,47.85,4.083225,171.95499999999998,2.0795,5.5062500000000005,4,40
DuelingDoubleDQN,DuelingDoubleDQN,0,0,1,77.5,34.35815000000001,23.25,0.0,11.3,1.0,0.0,0.6716129032258066,1.8467741935483868,31,40
DuelingDoubleDQN,DuelingDoubleDQN,0,0,2,57.49999999999999,-4.459349999999986,33.8,0.0,24.6,1.3115391304347825,30.82260869565217,0.701608695652174,1.7343043478260864,23,40
DuelingDoubleDQN,DuelingDoubleDQN,0,0,3,57.49999999999999,-18.17004999999999,44.275,0.0,32.7,4.574878260869565,115.80000000000003,1.5676956521739134,4.560434782608694,23,40
DuelingDoubleDQN,DuelingDoubleDQN,0,0,4,70.0,28.1975,26.05,0.0,14.425,1.0,0.0,0.6066428571428572,1.503642857142857,28,40
DuelingDoubleDQN,DuelingDoubleDQN,0,0,5,22.5,-76.66144999999995,48.3,0.0,41.025,1.0,0.0,0.357,1.0393333333333334,9,40
DuelingDoubleDQN,DuelingDoubleDQN,0,0,6,12.5,-99.294975,53.125,0.0,48.0,1.0,0.0,0.23500000000000001,0.621,5,40
DuelingDoubleDQN,DuelingDoubleDQN,0,0,7,30.0,-58.231475000000025,45.7,0.0,34.85,1.0,0.0,0.5765833333333333,1.5214999999999999,12,40
